起运省,起运市,起运区县,目的省,目的市,目的区县,货物名称,运掌柜车长,运掌柜平台车型,状态,错误,基地,本地原始车型,查询起运区县,查询目的区县,查询目的区县来源,查询级别,市场价低,市场价高,市场参考价,距离km,可见样本数
广东省,河源市,东源县,上海市,上海市,奉贤区,普通货物,12.5,集装箱,成功,,,,东源县,奉贤区,输入区县,区县级,,,,1233,0
广东省,惠州市,惠阳区,上海市,上海市,浦东新区,普通货物,6.8,厢式,成功,,,,惠阳区,浦东新区,输入区县,区县级,,,,1374,0
广东省,惠州市,惠阳区,上海市,上海市,奉贤区,普通货物,6.8,厢式,成功,,,,惠阳区,奉贤区,输入区县,区县级,,,,1350,0
广东省,惠州市,惠阳区,上海市,上海市,浦东新区,普通货物,6.2,集装箱,成功,,,,惠阳区,浦东新区,输入区县,区县级,,,,1371,0
广东省,惠州市,惠阳区,上海市,上海市,奉贤区,普通货物,6.2,集装箱,成功,,,,惠阳区,奉贤区,输入区县,区县级,,,,1348,0
广东省,惠州市,惠阳区,上海市,上海市,浦东新区,普通货物,13,厢式,成功,,,,惠阳区,浦东新区,输入区县,区县级,,,,1374,0
广东省,惠州市,惠阳区,上海市,上海市,奉贤区,普通货物,13,厢式,成功,,,,惠阳区,奉贤区,输入区县,区县级,,,,1350,0
浙江省,湖州市,南浔区,上海市,上海市,浦东新区,普通货物,6.2,集装箱,成功,,,,南浔区,浦东新区,输入区县,区县级,,,,130,0
浙江省,湖州市,南浔区,上海市,上海市,奉贤区,普通货物,6.2,集装箱,成功,,,,南浔区,奉贤区,输入区县,区县级,,,,115,0
浙江省,湖州市,南浔区,上海市,上海市,浦东新区,普通货物,6.8,厢式,成功,,,,南浔区,浦东新区,输入区县,区县级,,,,144,0
浙江省,湖州市,南浔区,上海市,上海市,奉贤区,普通货物,6.8,厢式,成功,,,,南浔区,奉贤区,输入区县,区县级,,,,131,0
浙江省,湖州市,南浔区,上海市,上海市,浦东新区,普通货物,7.7,厢式,成功,,,,南浔区,浦东新区,输入区县,区县级,,,,144,0
浙江省,湖州市,南浔区,上海市,上海市,奉贤区,普通货物,7.7,厢式,成功,,,,南浔区,奉贤区,输入区县,区县级,,,,131,0
浙江省,湖州市,南浔区,上海市,上海市,浦东新区,普通货物,8.7,厢式,成功,,,,南浔区,浦东新区,输入区县,区县级,,,,144,0
浙江省,湖州市,南浔区,上海市,上海市,奉贤区,普通货物,8.7,厢式,成功,,,,南浔区,奉贤区,输入区县,区县级,,,,131,0
广东省,江门市,新会区,上海市,上海市,浦东新区,普通货物,5,厢式,成功,,,,新会区,浦东新区,输入区县,区县级,,,,1538,0
广东省,江门市,新会区,上海市,上海市,奉贤区,普通货物,5,厢式,成功,,,,新会区,奉贤区,输入区县,区县级,,,,1515,0
广东省,江门市,新会区,上海市,上海市,浦东新区,普通货物,6.2,厢式,成功,,,,新会区,浦东新区,输入区县,区县级,,,,1538,0
广东省,江门市,新会区,上海市,上海市,奉贤区,普通货物,6.2,厢式,成功,,,,新会区,奉贤区,输入区县,区县级,,,,1515,0
广东省,江门市,新会区,上海市,上海市,浦东新区,普通货物,6.8,厢式,成功,,,,新会区,浦东新区,输入区县,区县级,,,,1539,0
广东省,江门市,新会区,上海市,上海市,奉贤区,普通货物,6.8,厢式,成功,,,,新会区,奉贤区,输入区县,区县级,,,,1515,0
广东省,江门市,新会区,上海市,上海市,浦东新区,普通货物,7.7,厢式,成功,,,,新会区,浦东新区,输入区县,区县级,,,,1539,0
广东省,江门市,新会区,上海市,上海市,奉贤区,普通货物,7.7,厢式,成功,,,,新会区,奉贤区,输入区县,区县级,,,,1515,0
广东省,江门市,新会区,上海市,上海市,浦东新区,普通货物,8.7,厢式,成功,,,,新会区,浦东新区,输入区县,区县级,,,,1539,0
广东省,江门市,新会区,上海市,上海市,奉贤区,普通货物,8.7,厢式,成功,,,,新会区,奉贤区,输入区县,区县级,,,,1515,0
广东省,江门市,新会区,上海市,上海市,浦东新区,普通货物,13,厢式,成功,,,,新会区,浦东新区,输入区县,区县级,,,,1539,0
广东省,江门市,新会区,上海市,上海市,奉贤区,普通货物,13,厢式,成功,,,,新会区,奉贤区,输入区县,区县级,,,,1515,0
广东省,江门市,新会区,上海市,上海市,浦东新区,普通货物,16,厢式,成功,,,,新会区,浦东新区,输入区县,区县级,,,,1539,0
广东省,江门市,新会区,上海市,上海市,奉贤区,普通货物,16,厢式,成功,,,,新会区,奉贤区,输入区县,区县级,,,,1515,0
广东省,江门市,新会区,上海市,上海市,浦东新区,普通货物,6.2,集装箱,成功,,,,新会区,浦东新区,输入区县,区县级,,,,1538,0
广东省,江门市,新会区,上海市,上海市,奉贤区,普通货物,6.2,集装箱,成功,,,,新会区,奉贤区,输入区县,区县级,,,,1515,0
广东省,江门市,新会区,上海市,上海市,浦东新区,普通货物,12.5,集装箱,成功,,,,新会区,浦东新区,输入区县,区县级,,,,1539,0
广东省,江门市,新会区,上海市,上海市,奉贤区,普通货物,12.5,集装箱,成功,,,,新会区,奉贤区,输入区县,区县级,,,,1515,0
江苏省,连云港市,连云区,上海市,上海市,浦东新区,普通货物,4.2,厢式,成功,,,,连云区,浦东新区,输入区县,区县级,,,,504,0
江苏省,连云港市,连云区,上海市,上海市,奉贤区,普通货物,4.2,厢式,成功,,,,连云区,奉贤区,输入区县,区县级,,,,526,0
江苏省,连云港市,连云区,上海市,上海市,浦东新区,普通货物,7.7,厢式,成功,,,,连云区,浦东新区,输入区县,区县级,,,,533,0
江苏省,连云港市,连云区,上海市,上海市,奉贤区,普通货物,7.7,厢式,成功,,,,连云区,奉贤区,输入区县,区县级,,,,532,0
江苏省,连云港市,连云区,上海市,上海市,浦东新区,普通货物,8.7,厢式,成功,,,,连云区,浦东新区,输入区县,区县级,,,,533,0
江苏省,连云港市,连云区,上海市,上海市,奉贤区,普通货物,8.7,厢式,成功,,,,连云区,奉贤区,输入区县,区县级,,,,532,0
江苏省,连云港市,连云区,上海市,上海市,浦东新区,普通货物,16,厢式,成功,,,,连云区,浦东新区,输入区县,区县级,,,,533,0
江苏省,连云港市,连云区,上海市,上海市,奉贤区,普通货物,16,厢式,成功,,,,连云区,奉贤区,输入区县,区县级,,,,532,0
江苏省,连云港市,连云区,上海市,上海市,浦东新区,普通货物,6.2,集装箱,成功,,,,连云区,浦东新区,输入区县,区县级,,,,504,0
江苏省,连云港市,连云区,上海市,上海市,奉贤区,普通货物,6.2,集装箱,成功,,,,连云区,奉贤区,输入区县,区县级,,,,526,0
江苏省,连云港市,连云区,上海市,上海市,浦东新区,普通货物,12.5,集装箱,成功,,,,连云区,浦东新区,输入区县,区县级,,,,533,0
江苏省,连云港市,连云区,上海市,上海市,奉贤区,普通货物,12.5,集装箱,成功,,,,连云区,奉贤区,输入区县,区县级,,,,532,0
江西省,南昌市,南昌县,上海市,上海市,浦东新区,普通货物,4.2,厢式,成功,,,,南昌县,浦东新区,输入区县,区县级,,,,734,0
江西省,南昌市,南昌县,上海市,上海市,奉贤区,普通货物,4.2,厢式,成功,,,,南昌县,奉贤区,输入区县,区县级,,,,690,0
江西省,南昌市,南昌县,上海市,上海市,浦东新区,普通货物,5,厢式,成功,,,,南昌县,浦东新区,输入区县,区县级,,,,734,0
江西省,南昌市,南昌县,上海市,上海市,奉贤区,普通货物,5,厢式,成功,,,,南昌县,奉贤区,输入区县,区县级,,,,690,0
江西省,南昌市,南昌县,上海市,上海市,浦东新区,普通货物,6.2,厢式,成功,,,,南昌县,浦东新区,输入区县,区县级,,,,734,0
江西省,南昌市,南昌县,上海市,上海市,奉贤区,普通货物,6.2,厢式,成功,,,,南昌县,奉贤区,输入区县,区县级,,,,690,0
江西省,南昌市,南昌县,上海市,上海市,浦东新区,普通货物,6.8,厢式,成功,,,,南昌县,浦东新区,输入区县,区县级,,,,725,0
